Date,Users,Sessions,Page_Views,Bounce_Rate,Avg_Session_Duration,Traffic_Source,Device,Country,Conversions,Conversion_Rate
2025-03-01,616,728,2184,42.51,6.69,Email,Desktop,Canada,46,7.47
2025-03-02,217,402,804,20.67,6.1,Referral,Tablet,UK,19,8.76
2025-03-03,699,728,728,47.61,5.14,Social,Mobile,Australia,57,8.15
2025-03-04,347,368,736,63.29,4.72,Direct,Mobile,Canada,6,1.73
2025-03-05,790,803,2409,38.81,7.76,Social,Mobile,Canada,77,9.75
2025-03-06,470,649,3245,26.88,1.05,Email,Mobile,Australia,47,10.0
2025-03-07,468,639,1917,28.17,7.67,Organic,Tablet,USA,10,2.14
2025-03-08,316,341,1023,25.65,7.19,Email,Mobile,UK,3,0.95
2025-03-09,525,669,2007,22.82,1.15,Social,Desktop,Australia,32,6.1
2025-03-10,336,535,1070,36.2,6.33,Social,Tablet,India,27,8.04
2025-03-11,462,658,658,27.65,3.11,Organic,Desktop,Australia,30,6.49
2025-03-12,559,659,3295,67.22,4.47,Organic,Mobile,Australia,37,6.62
2025-03-13,418,453,906,28.16,1.1,Email,Tablet,India,8,1.91
2025-03-14,729,910,3640,44.23,4.83,Direct,Mobile,USA,12,1.65
2025-03-15,267,359,718,59.01,6.18,Social,Mobile,USA,10,3.75
2025-03-16,129,245,245,62.16,7.45,Social,Desktop,UK,10,7.75
2025-03-17,728,837,2511,63.62,6.92,Social,Desktop,USA,46,6.32
2025-03-18,322,518,2072,51.17,4.56,Direct,Desktop,USA,13,4.04
2025-03-19,352,510,2040,29.19,6.74,Organic,Tablet,Canada,11,3.12
2025-03-20,249,292,584,58.78,6.2,Organic,Tablet,Canada,9,3.61
2025-03-21,444,570,2280,51.84,6.04,Social,Tablet,India,39,8.78
2025-03-22,627,707,2828,35.66,2.43,Direct,Desktop,Canada,37,5.9
2025-03-23,568,707,1414,20.91,7.01,Organic,Mobile,UK,25,4.4
2025-03-24,557,708,1416,36.35,1.6,Direct,Tablet,USA,2,0.36
2025-03-25,688,847,1694,66.91,4.67,Organic,Mobile,Canada,54,7.85
2025-03-26,203,265,1325,26.48,4.31,Direct,Mobile,Canada,2,0.99
2025-03-27,562,577,1731,22.58,4.75,Social,Tablet,Canada,25,4.45
2025-03-28,156,331,331,37.85,1.03,Email,Mobile,India,13,8.33
2025-03-29,658,805,3220,58.39,7.78,Social,Desktop,USA,44,6.69
2025-03-30,796,978,3912,49.22,7.87,Direct,Desktop,Australia,3,0.38
2025-03-31,553,553,1659,30.25,3.21,Social,Desktop,India,25,4.52
2025-04-01,597,611,611,43.02,1.22,Social,Mobile,Canada,33,5.53
2025-04-02,381,461,1383,62.42,1.19,Social,Desktop,Australia,13,3.41
2025-04-03,781,950,950,25.77,1.68,Email,Mobile,USA,23,2.94
2025-04-04,650,824,824,64.49,4.09,Organic,Desktop,Australia,36,5.54
2025-04-05,331,522,1044,32.79,3.34,Social,Desktop,USA,0,0.0
2025-04-06,737,737,2211,56.19,2.2,Social,Mobile,UK,15,2.04
2025-04-07,480,528,2112,48.39,3.04,Direct,Desktop,Canada,48,10.0
2025-04-08,702,888,1776,42.69,2.55,Direct,Mobile,India,68,9.69
2025-04-09,395,464,1392,57.88,5.8,Organic,Mobile,USA,3,0.76
2025-04-10,565,759,3036,24.01,3.82,Referral,Desktop,India,16,2.83
2025-04-11,568,568,2272,69.62,1.95,Social,Mobile,USA,6,1.06
2025-04-12,564,637,3185,40.69,2.13,Social,Desktop,USA,29,5.14
2025-04-13,143,275,1375,47.37,2.93,Email,Tablet,India,9,6.29
2025-04-14,674,841,4205,36.02,5.44,Referral,Desktop,UK,48,7.12
2025-04-15,151,261,1305,27.08,5.28,Email,Mobile,India,4,2.65
2025-04-16,797,980,3920,66.05,3.48,Social,Mobile,India,62,7.78
2025-04-17,544,545,2180,39.76,3.99,Direct,Tablet,USA,29,5.33
2025-04-18,760,937,937,42.05,1.79,Organic,Desktop,USA,42,5.53
2025-04-19,500,600,1200,28.56,5.1,Social,Mobile,Australia,45,9.0
2025-04-20,425,544,1088,49.48,3.33,Social,Mobile,India,23,5.41
2025-04-21,526,677,2708,50.51,3.24,Referral,Tablet,Canada,10,1.9
2025-04-22,212,347,1041,39.08,3.68,Referral,Desktop,Australia,5,2.36
2025-04-23,339,462,1848,53.64,5.18,Social,Tablet,Canada,5,1.47
2025-04-24,547,597,2985,33.87,5.92,Social,Mobile,India,31,5.67
2025-04-25,600,784,3136,49.67,3.54,Email,Tablet,UK,41,6.83
2025-04-26,369,509,1527,36.77,5.38,Social,Mobile,Australia,17,4.61
2025-04-27,94,246,492,42.98,4.59,Social,Mobile,India,1,1.06
2025-04-28,449,604,3020,64.1,1.48,Organic,Tablet,Australia,25,5.57
2025-04-29,276,378,1134,50.62,1.98,Direct,Tablet,Canada,26,9.42
2025-04-30,181,212,636,34.2,4.91,Social,Tablet,Canada,8,4.42
2025-05-01,121,244,976,56.33,6.61,Direct,Mobile,India,5,4.13
2025-05-02,228,329,658,60.24,4.71,Email,Mobile,UK,9,3.95
2025-05-03,177,347,1388,22.0,1.32,Email,Tablet,India,4,2.26
2025-05-04,505,677,2031,48.19,6.43,Organic,Desktop,UK,13,2.57
2025-05-05,309,414,2070,32.22,2.14,Organic,Desktop,UK,30,9.71
2025-05-06,508,530,530,31.73,2.95,Social,Tablet,USA,3,0.59
2025-05-07,489,649,2596,35.56,3.49,Email,Mobile,USA,16,3.27
2025-05-08,549,715,1430,54.46,3.27,Organic,Desktop,Canada,27,4.92
2025-05-09,120,142,426,40.31,1.69,Social,Desktop,USA,5,4.17
2025-05-10,791,813,813,56.59,1.48,Direct,Tablet,India,17,2.15
2025-05-11,259,379,758,61.78,4.1,Referral,Desktop,USA,22,8.49
2025-05-12,586,616,3080,39.4,1.17,Social,Mobile,Canada,46,7.85
2025-05-13,593,715,715,54.56,1.53,Social,Mobile,Canada,11,1.85
2025-05-14,727,893,3572,31.48,5.39,Direct,Desktop,Australia,24,3.3
2025-05-15,437,502,2008,62.83,6.84,Social,Tablet,USA,24,5.49
2025-05-16,114,255,510,23.81,3.55,Social,Tablet,Australia,6,5.26
2025-05-17,472,489,1467,61.86,2.84,Social,Tablet,India,41,8.69
2025-05-18,458,572,2860,23.0,1.13,Social,Desktop,UK,0,0.0
2025-05-19,476,649,1947,45.42,2.53,Email,Mobile,Australia,34,7.14
2025-05-20,262,287,861,21.21,3.79,Social,Desktop,India,2,0.76
2025-05-21,233,404,2020,24.0,1.52,Referral,Tablet,USA,4,1.72
2025-05-22,627,713,3565,30.59,6.85,Email,Desktop,India,12,1.91
2025-05-23,628,765,1530,27.17,7.76,Organic,Tablet,UK,26,4.14
2025-05-24,473,560,2800,36.21,7.98,Email,Tablet,Australia,1,0.21
2025-05-25,372,438,438,58.07,6.09,Referral,Tablet,USA,2,0.54
2025-05-26,311,367,1101,60.06,7.42,Social,Desktop,Canada,24,7.72
2025-05-27,559,702,702,38.84,3.62,Referral,Tablet,Canada,49,8.77
2025-05-28,574,727,2908,30.63,2.7,Organic,Desktop,India,14,2.44
2025-05-29,672,801,2403,28.83,4.5,Direct,Mobile,Canada,3,0.45
2025-05-30,207,284,1420,21.07,3.26,Email,Mobile,India,3,1.45
2025-05-31,649,658,658,51.59,5.88,Email,Desktop,India,16,2.47
2025-06-01,234,379,758,36.91,7.69,Direct,Desktop,Canada,6,2.56
2025-06-02,792,941,1882,52.69,3.78,Social,Tablet,India,43,5.43
2025-06-03,238,431,431,20.39,7.75,Email,Desktop,Australia,9,3.78
2025-06-04,402,420,2100,31.71,7.1,Organic,Tablet,USA,15,3.73
2025-06-05,664,845,4225,62.86,2.22,Direct,Mobile,Canada,27,4.07
2025-06-06,651,810,1620,28.79,3.43,Social,Mobile,India,19,2.92
2025-06-07,459,528,2112,46.34,2.49,Email,Desktop,Australia,23,5.01
2025-06-08,248,381,381,20.54,4.68,Organic,Tablet,UK,13,5.24
2025-06-09,264,401,1604,69.89,6.18,Referral,Mobile,Canada,8,3.03
2025-06-10,623,660,3300,47.7,1.51,Referral,Desktop,Australia,52,8.35
2025-06-11,153,161,805,61.4,6.28,Referral,Mobile,USA,2,1.31
2025-06-12,216,343,1715,65.65,4.79,Social,Desktop,USA,10,4.63
2025-06-13,148,275,1100,61.71,2.92,Organic,Desktop,USA,4,2.7
2025-06-14,667,777,3108,60.64,5.76,Social,Tablet,India,40,6.0
2025-06-15,183,198,198,69.43,1.76,Direct,Mobile,India,3,1.64
2025-06-16,370,568,2840,25.7,5.02,Referral,Tablet,Canada,26,7.03
2025-06-17,416,447,1341,44.38,5.77,Organic,Desktop,India,20,4.81
2025-06-18,697,809,2427,40.39,1.75,Organic,Mobile,Australia,25,3.59
2025-06-19,271,443,1772,43.88,5.88,Email,Tablet,UK,10,3.69
2025-06-20,96,138,138,25.81,5.75,Social,Mobile,Australia,1,1.04
2025-06-21,154,270,1350,25.79,7.41,Direct,Mobile,USA,8,5.19
2025-06-22,683,757,757,48.29,3.74,Email,Mobile,Australia,44,6.44
2025-06-23,163,325,325,35.04,3.55,Social,Mobile,Canada,11,6.75
2025-06-24,158,215,1075,69.91,1.79,Social,Mobile,Australia,9,5.7
2025-06-25,279,461,1844,30.01,4.95,Social,Tablet,Canada,12,4.3
2025-06-26,452,557,557,34.0,6.09,Organic,Tablet,India,16,3.54
2025-06-27,192,357,357,26.32,6.35,Email,Tablet,India,19,9.9
2025-06-28,433,503,1006,37.03,6.58,Organic,Desktop,Canada,18,4.16
2025-06-29,668,789,2367,46.24,1.57,Referral,Desktop,UK,50,7.49
2025-06-30,274,299,1196,61.46,4.4,Direct,Tablet,India,5,1.82
2025-07-01,481,571,2855,39.87,4.35,Referral,Desktop,USA,13,2.7
2025-07-02,178,310,930,43.59,5.39,Social,Mobile,India,0,0.0
2025-07-03,454,602,2408,49.85,4.75,Email,Mobile,USA,11,2.42
2025-07-04,467,544,2720,31.72,6.79,Social,Mobile,India,15,3.21
2025-07-05,436,493,493,57.44,1.7,Email,Desktop,USA,39,8.94
2025-07-06,489,591,591,49.42,2.65,Organic,Mobile,Australia,19,3.89
2025-07-07,210,253,759,25.88,2.31,Organic,Desktop,India,0,0.0
2025-07-08,422,527,2108,31.24,3.16,Referral,Desktop,Australia,6,1.42
2025-07-09,232,309,927,38.49,3.37,Direct,Desktop,Australia,2,0.86
2025-07-10,536,734,734,69.58,6.89,Social,Tablet,India,48,8.96
2025-07-11,364,481,1443,28.85,7.61,Organic,Tablet,Canada,33,9.07
2025-07-12,671,822,3288,55.95,7.12,Organic,Tablet,UK,28,4.17
2025-07-13,169,313,626,28.45,4.43,Email,Tablet,USA,13,7.69
2025-07-14,174,272,544,62.09,3.18,Organic,Tablet,India,12,6.9
2025-07-15,339,473,2365,20.19,6.29,Referral,Tablet,USA,25,7.37
2025-07-16,179,212,212,26.54,5.68,Direct,Desktop,Australia,3,1.68
2025-07-17,243,402,1206,38.8,6.33,Email,Mobile,UK,18,7.41
2025-07-18,728,770,3850,30.02,6.07,Direct,Desktop,UK,72,9.89
2025-07-19,704,729,3645,45.82,6.2,Referral,Desktop,Canada,66,9.38
2025-07-20,498,694,2082,38.89,4.03,Referral,Tablet,India,8,1.61
2025-07-21,202,268,536,51.05,7.96,Referral,Tablet,Australia,13,6.44
2025-07-22,216,278,1390,27.93,5.42,Email,Mobile,UK,12,5.56
2025-07-23,368,433,866,23.0,3.23,Social,Desktop,India,9,2.45
2025-07-24,104,230,920,29.44,2.47,Social,Mobile,Australia,8,7.69
2025-07-25,479,638,2552,24.42,2.33,Organic,Tablet,UK,42,8.77
2025-07-26,574,629,629,21.76,2.69,Direct,Tablet,India,48,8.36
2025-07-27,613,736,736,28.3,5.27,Organic,Mobile,UK,15,2.45
2025-07-28,781,911,3644,38.82,6.58,Email,Mobile,Australia,31,3.97
2025-07-29,332,350,1750,48.04,6.44,Referral,Tablet,Australia,5,1.51
2025-07-30,319,350,350,22.52,1.46,Organic,Tablet,Canada,8,2.51
2025-07-31,120,149,298,63.99,1.89,Direct,Mobile,India,4,3.33
2025-08-01,245,442,884,37.33,1.93,Referral,Desktop,Canada,19,7.76
2025-08-02,280,334,668,33.49,3.01,Referral,Tablet,Canada,10,3.57
2025-08-03,149,266,1330,47.5,7.95,Social,Desktop,India,14,9.4
2025-08-04,204,242,242,54.16,2.09,Referral,Mobile,India,4,1.96
2025-08-05,691,720,2880,32.97,1.91,Organic,Tablet,Canada,47,6.8
2025-08-06,724,782,2346,54.74,2.57,Social,Mobile,Australia,45,6.22
2025-08-07,768,908,4540,52.73,2.87,Organic,Tablet,Australia,53,6.9
2025-08-08,587,764,1528,62.49,7.17,Organic,Desktop,Canada,55,9.37
2025-08-09,669,676,2028,32.1,7.79,Social,Tablet,India,9,1.35
2025-08-10,371,534,1602,66.74,6.96,Email,Desktop,Australia,12,3.23
2025-08-11,374,534,534,29.97,2.78,Organic,Desktop,India,36,9.63
2025-08-12,282,313,1565,22.18,7.14,Referral,Tablet,UK,13,4.61
2025-08-13,226,374,1496,62.76,7.39,Direct,Tablet,USA,14,6.19
2025-08-14,263,309,618,21.05,6.25,Direct,Tablet,India,1,0.38
2025-08-15,618,627,627,36.32,3.13,Direct,Desktop,India,41,6.63
2025-08-16,395,440,880,53.95,2.34,Email,Desktop,UK,30,7.59
2025-08-17,102,273,819,61.71,3.04,Social,Desktop,Canada,3,2.94
2025-08-18,155,272,1360,53.13,2.72,Organic,Mobile,UK,14,9.03
2025-08-19,756,818,2454,24.27,5.48,Social,Tablet,UK,63,8.33
2025-08-20,517,652,3260,35.77,6.22,Organic,Tablet,UK,49,9.48
2025-08-21,718,737,2948,47.29,5.0,Organic,Tablet,USA,63,8.77
2025-08-22,372,399,1197,39.68,1.95,Organic,Tablet,Australia,31,8.33
2025-08-23,462,619,619,60.62,7.81,Social,Desktop,Canada,41,8.87
2025-08-24,541,625,3125,66.08,2.31,Email,Tablet,India,6,1.11
2025-08-25,335,431,2155,65.89,7.77,Social,Mobile,USA,5,1.49
2025-08-26,520,687,2748,49.64,4.35,Referral,Desktop,USA,0,0.0
2025-08-27,474,524,524,57.55,5.98,Email,Mobile,UK,39,8.23
2025-08-28,136,169,338,30.04,2.38,Email,Desktop,USA,6,4.41
2025-08-29,535,680,2720,48.33,1.11,Referral,Mobile,UK,45,8.41
2025-08-30,360,553,1659,65.87,4.04,Referral,Tablet,USA,24,6.67
2025-08-31,223,245,980,67.94,1.44,Organic,Mobile,India,14,6.28
2025-09-01,183,222,1110,48.47,1.5,Social,Desktop,India,12,6.56
2025-09-02,647,795,3975,21.75,1.46,Organic,Tablet,UK,2,0.31
2025-09-03,201,378,378,63.42,2.13,Social,Tablet,India,14,6.97
2025-09-04,317,422,844,47.25,5.33,Social,Desktop,UK,16,5.05
2025-09-05,301,459,459,43.02,6.73,Email,Mobile,UK,10,3.32
2025-09-06,660,709,1418,32.02,6.62,Email,Desktop,Canada,49,7.42
2025-09-07,440,457,457,34.48,3.18,Direct,Desktop,UK,25,5.68
2025-09-08,329,431,1724,65.78,3.52,Organic,Desktop,Australia,20,6.08
2025-09-09,717,821,2463,27.3,3.44,Organic,Desktop,USA,14,1.95
2025-09-10,702,865,3460,48.81,4.49,Referral,Desktop,Canada,63,8.97
2025-09-11,153,187,374,64.51,5.17,Organic,Mobile,India,1,0.65
2025-09-12,775,867,1734,43.74,3.28,Organic,Mobile,UK,7,0.9
2025-09-13,530,593,1779,33.25,6.63,Organic,Mobile,UK,19,3.58
2025-09-14,307,394,394,65.17,6.37,Email,Mobile,Australia,4,1.3
2025-09-15,270,468,936,47.61,2.18,Email,Tablet,Canada,9,3.33
2025-09-16,688,787,3148,48.66,5.57,Direct,Desktop,USA,39,5.67
2025-09-17,292,381,1524,31.47,7.25,Referral,Tablet,Canada,21,7.19
2025-09-18,247,305,305,65.59,5.51,Social,Desktop,India,11,4.45
2025-09-19,488,495,1485,50.37,6.76,Social,Tablet,Canada,46,9.43
2025-09-20,212,321,963,27.45,4.82,Direct,Tablet,India,20,9.43
2025-09-21,230,243,1215,48.01,4.2,Direct,Mobile,USA,18,7.83
2025-09-22,537,704,3520,46.15,3.84,Organic,Tablet,Australia,48,8.94
2025-09-23,262,306,1224,31.05,2.92,Email,Tablet,UK,17,6.49
2025-09-24,780,932,2796,37.59,7.42,Referral,Mobile,USA,0,0.0
2025-09-25,127,149,745,25.07,3.76,Referral,Tablet,UK,2,1.57
2025-09-26,271,323,323,27.52,5.36,Direct,Desktop,UK,23,8.49
2025-09-27,723,782,782,23.02,3.65,Direct,Desktop,USA,15,2.07
2025-09-28,669,804,1608,22.91,1.13,Organic,Desktop,UK,16,2.39
2025-09-29,339,390,1560,36.65,7.38,Social,Tablet,India,13,3.83
2025-09-30,143,282,1410,60.89,2.47,Direct,Mobile,Australia,12,8.39
2025-10-01,579,618,1236,29.0,4.75,Organic,Mobile,India,25,4.32
2025-10-02,723,882,882,57.77,1.25,Direct,Mobile,UK,54,7.47
2025-10-03,195,293,293,39.87,5.89,Email,Mobile,India,9,4.62
2025-10-04,404,454,454,54.52,6.14,Social,Mobile,UK,7,1.73
2025-10-05,564,631,2524,40.2,2.37,Direct,Desktop,Canada,23,4.08
2025-10-06,451,500,1000,69.95,2.62,Direct,Tablet,USA,27,5.99
2025-10-07,761,838,1676,33.19,4.54,Referral,Tablet,Canada,76,9.99
2025-10-08,197,383,766,40.26,6.43,Organic,Tablet,USA,19,9.64
2025-10-09,174,179,895,49.2,3.72,Direct,Desktop,Australia,12,6.9
2025-10-10,540,638,2552,48.67,4.43,Organic,Tablet,India,9,1.67
2025-10-11,118,241,482,42.1,4.36,Social,Desktop,UK,3,2.54
2025-10-12,218,227,681,35.61,2.03,Email,Desktop,UK,7,3.21
2025-10-13,415,566,1132,32.19,6.2,Organic,Tablet,Canada,39,9.4
2025-10-14,551,558,2232,39.31,3.88,Referral,Desktop,USA,26,4.72
2025-10-15,132,198,198,49.49,5.7,Direct,Mobile,India,10,7.58
2025-10-16,234,319,638,50.51,4.78,Referral,Desktop,Australia,8,3.42
2025-10-17,386,545,1090,23.18,2.02,Direct,Tablet,India,28,7.25
2025-10-18,398,412,2060,25.12,1.3,Email,Tablet,India,3,0.75
2025-10-19,670,675,2700,57.28,1.56,Organic,Tablet,Australia,38,5.67
2025-10-20,367,478,1434,67.32,4.37,Direct,Desktop,Canada,34,9.26
2025-10-21,390,559,559,63.2,7.73,Organic,Tablet,India,22,5.64
2025-10-22,622,804,3216,28.72,6.84,Referral,Mobile,Australia,30,4.82
2025-10-23,682,771,1542,38.17,2.34,Social,Tablet,India,53,7.77
2025-10-24,588,594,1188,54.51,5.83,Direct,Mobile,Canada,36,6.12
2025-10-25,263,350,1750,62.8,5.37,Social,Desktop,UK,6,2.28
2025-10-26,80,173,346,66.28,1.22,Email,Tablet,USA,8,10.0
2025-10-27,791,793,3172,69.07,7.18,Email,Mobile,Australia,38,4.8
2025-10-28,370,548,1096,31.07,3.14,Organic,Tablet,Australia,22,5.95
2025-10-29,414,554,554,34.6,3.12,Social,Mobile,Canada,7,1.69
2025-10-30,701,741,3705,41.2,4.66,Social,Desktop,UK,37,5.28
2025-10-31,357,384,1920,55.96,4.94,Email,Desktop,Australia,18,5.04
2025-11-01,393,450,1350,24.87,3.71,Referral,Tablet,UK,9,2.29
2025-11-02,363,502,1004,48.74,2.95,Social,Tablet,UK,28,7.71
2025-11-03,293,489,978,40.32,1.67,Social,Tablet,UK,17,5.8
2025-11-04,99,202,202,58.91,4.1,Organic,Desktop,USA,7,7.07
2025-11-05,798,839,1678,30.79,1.05,Referral,Mobile,Australia,31,3.88
2025-11-06,359,387,387,58.14,4.9,Referral,Tablet,UK,11,3.06
2025-11-07,535,587,587,63.72,7.68,Direct,Desktop,Canada,28,5.23
2025-11-08,425,616,1232,38.45,7.78,Email,Desktop,Australia,33,7.76
2025-11-09,583,680,2040,28.0,1.56,Organic,Desktop,UK,56,9.61
2025-11-10,477,522,522,36.65,5.47,Social,Desktop,India,2,0.42
2025-11-11,581,610,1830,33.69,1.01,Direct,Mobile,India,48,8.26
2025-11-12,798,993,2979,27.08,2.38,Social,Tablet,India,71,8.9
2025-11-13,556,580,580,37.44,4.77,Social,Mobile,USA,49,8.81
2025-11-14,794,929,929,63.52,4.16,Email,Tablet,UK,33,4.16
2025-11-15,376,453,453,60.55,6.31,Referral,Mobile,Australia,23,6.12
2025-11-16,277,435,1305,41.99,1.94,Social,Desktop,Canada,3,1.08
2025-11-17,85,98,98,34.83,2.76,Referral,Tablet,USA,2,2.35
2025-11-18,476,673,1346,46.63,1.95,Email,Desktop,USA,0,0.0
2025-11-19,490,501,2004,22.33,6.21,Organic,Tablet,Canada,12,2.45
2025-11-20,472,618,1854,39.94,7.59,Email,Mobile,Canada,32,6.78
2025-11-21,428,477,1908,40.13,7.39,Organic,Tablet,Canada,36,8.41
2025-11-22,128,285,570,22.43,6.18,Organic,Tablet,Canada,1,0.78
2025-11-23,237,356,712,36.81,2.7,Social,Tablet,Australia,21,8.86
2025-11-24,285,457,2285,24.38,1.24,Direct,Desktop,India,25,8.77
2025-11-25,181,291,1455,37.39,6.97,Organic,Tablet,UK,4,2.21
2025-11-26,738,863,1726,24.3,5.26,Referral,Tablet,USA,62,8.4
2025-11-27,512,687,3435,60.45,3.87,Organic,Desktop,UK,8,1.56
2025-11-28,282,308,308,21.22,6.35,Organic,Mobile,Australia,3,1.06
2025-11-29,358,472,1416,62.0,7.89,Email,Tablet,UK,14,3.91
2025-11-30,110,182,364,26.74,7.61,Email,Tablet,USA,2,1.82
2025-12-01,580,731,2193,61.36,3.34,Organic,Desktop,India,26,4.48
2025-12-02,108,220,1100,41.5,2.18,Referral,Mobile,India,10,9.26
2025-12-03,632,715,2860,27.78,7.65,Social,Tablet,UK,16,2.53
2025-12-04,233,424,424,67.78,4.69,Email,Desktop,Australia,0,0.0
2025-12-05,265,325,325,57.01,6.29,Referral,Tablet,UK,0,0.0
2025-12-06,523,683,3415,62.85,6.41,Email,Mobile,Australia,23,4.4
2025-12-07,366,432,432,60.02,7.59,Social,Desktop,India,27,7.38
2025-12-08,138,200,800,67.32,7.51,Organic,Desktop,UK,7,5.07
2025-12-09,798,851,3404,68.86,5.93,Social,Mobile,India,8,1.0
2025-12-10,273,409,1636,43.7,3.57,Organic,Desktop,India,3,1.1
2025-12-11,457,468,936,34.94,7.88,Organic,Desktop,Australia,11,2.41
2025-12-12,549,550,550,51.16,2.7,Direct,Mobile,Australia,16,2.91
2025-12-13,476,485,970,52.87,4.44,Referral,Desktop,Australia,46,9.66
2025-12-14,601,729,2187,33.68,1.29,Direct,Tablet,Canada,31,5.16
2025-12-15,354,450,2250,26.11,7.18,Referral,Mobile,UK,5,1.41
2025-12-16,579,758,1516,39.05,6.1,Organic,Mobile,USA,46,7.94
2025-12-17,778,868,1736,26.99,4.82,Social,Mobile,Canada,10,1.29
2025-12-18,736,930,2790,23.13,3.54,Direct,Mobile,India,29,3.94
